key,device_name,transpiled_depth,job_id,counts,execution_time
e0dcdfc9,aer_sim,6,,{'01': 1024},1970-01-01 00:00:01.086991072
23caeab0,aer_sim,10,,"{'111': 969, '001': 9, '110': 12, '011': 11, '000': 8, '010': 5, '100': 5, '101': 5}",1970-01-01 00:00:00.337097883
a00dc22c,aer_sim,14,,"{'1001': 986, '1101': 5, '0011': 3, '1100': 6, '0000': 2, '0101': 2, '1011': 2, '0001': 3, '0111': 3, '1111': 3, '1000': 2, '0010': 3, '1010': 2, '1110': 1, '0110': 1}",1970-01-01 00:00:00.201308966
cdbc3c51,aer_sim,20,,"{'00111': 505, '10011': 483, '10010': 2, '01101': 2, '11110': 2, '01001': 2, '01100': 3, '11101': 4, '01110': 3, '00011': 1, '11100': 1, '11011': 2, '11001': 1, '00110': 3, '00100': 1, '01111': 1, '10100': 1, '00101': 1, '01011': 1, '01010': 1, '10101': 2, '10110': 1, '01000': 1}",1970-01-01 00:00:00.324103832
0e14030c,aer_sim,26,,"{'011011': 507, '101001': 513, '111011': 1, '001111': 1, '111101': 1, '111100': 1}",1970-01-01 00:00:00.182510853
e0dcdfc9,aer_noisy,12,,"{'01': 950, '11': 49, '00': 19, '10': 6}",1970-01-01 00:00:15.390370369
23caeab0,aer_noisy,176,,"{'000': 28, '111': 788, '101': 37, '110': 38, '001': 26, '011': 37, '010': 35, '100': 35}",1970-01-01 00:00:12.172620296
a00dc22c,aer_noisy,659,,"{'1011': 40, '1001': 427, '0110': 37, '0111': 33, '0100': 36, '0001': 57, '1111': 42, '1101': 47, '0010': 46, '1010': 28, '0011': 31, '1000': 48, '0000': 49, '1110': 30, '0101': 40, '1100': 33}",1970-01-01 00:00:08.649165869
cdbc3c51,aer_noisy,2332,,"{'10000': 32, '11111': 37, '00110': 40, '11010': 26, '10001': 35, '01110': 29, '11110': 29, '01010': 24, '00100': 35, '10100': 28, '00101': 43, '01100': 34, '00000': 29, '01001': 34, '11101': 38, '00111': 47, '00001': 24, '01101': 32, '11011': 25, '10011': 42, '00010': 44, '11000': 29, '10111': 29, '01011': 33, '10010': 36, '00011': 27, '10101': 26, '11001': 28, '01000': 27, '01111': 28, '11100': 22, '10110': 32}",1970-01-01 00:00:12.475147247
0e14030c,aer_noisy,6315,,"{'000011': 19, '111110': 13, '100110': 14, '110011': 20, '111111': 11, '110000': 18, '010101': 17, '101110': 20, '001100': 19, '110001': 14, '110110': 20, '111100': 7, '010100': 17, '011111': 14, '101010': 25, '000010': 20, '111000': 13, '000101': 19, '000100': 20, '111101': 15, '010010': 12, '011011': 12, '110111': 22, '101001': 19, '111010': 16, '100011': 14, '011110': 17, '000000': 17, '001101': 13, '000111': 18, '101000': 16, '100100': 20, '010001': 20, '011101': 13, '001011': 14, '101111': 24, '100001': 16, '001110': 11, '000110': 18, '010110': 27, '011000': 10, '110010': 22, '100101': 20, '001111': 10, '010000': 29, '101101': 12, '001010': 18, '011100': 18, '100000': 11, '010111': 15, '011001': 12, '001000': 20, '110101': 17, '110100': 14, '111011': 18, '000001': 17, '100010': 17, '010011': 8, '100111': 8, '111001': 9, '101011': 13, '011010': 10, '101100': 10, '001001': 12}",1970-01-01 00:00:09.189412594
e0dcdfc9,ibm_fez,9,cxb011mtpsjg008chm30,,
23caeab0,ibm_fez,146,cxb012mrkac00089qwr0,,
a00dc22c,ibm_fez,500,cxb013mbqkhg008952sg,,
cdbc3c51,ibm_fez,1958,cxb014mpjw30008h89x0,,
0e14030c,ibm_fez,5093,cxb016crkac00089qwrg,,
e0dcdfc9,ibm_torino,9,cxb0185rkac00089qws0,,
23caeab0,ibm_torino,141,cxb018xrkac00089qwsg,,
a00dc22c,ibm_torino,564,cxb01a5px23g008c05dg,,
cdbc3c51,ibm_torino,1950,cxb01b5rkac00089qwt0,,
0e14030c,ibm_torino,5078,cxb01cxpjw30008h89xg,,
e0dcdfc9,ibm_kyiv,12,cxb01expx23g008c05f0,"{'10': 96, '01': 800, '11': 51, '00': 77}",
23caeab0,ibm_kyiv,209,cxb01fxbqkhg008952vg,"{'111': 521, '110': 81, '100': 71, '101': 114, '001': 62, '011': 71, '010': 55, '000': 49}",
a00dc22c,ibm_kyiv,696,cxb01gypjw30008h89yg,"{'1001': 102, '0001': 90, '0100': 60, '1101': 67, '0110': 51, '1110': 38, '0101': 79, '0000': 65, '0010': 66, '1111': 64, '1000': 45, '1011': 80, '1100': 54, '1010': 42, '0011': 55, '0111': 66}",
cdbc3c51,ibm_kyiv,3235,cxb01j6pjw30008h89z0,"{'11010': 43, '01110': 35, '01001': 45, '10001': 30, '01010': 40, '00001': 18, '00010': 32, '11001': 24, '10101': 33, '10100': 30, '10011': 23, '10111': 29, '11110': 42, '01111': 32, '11101': 37, '01101': 31, '00101': 28, '10000': 33, '00100': 25, '00110': 28, '00011': 28, '11111': 38, '01000': 34, '11011': 29, '00111': 37, '10110': 30, '11100': 34, '01100': 40, '00000': 26, '01011': 25, '10010': 31, '11000': 34}",
0e14030c,ibm_kyiv,8716,cxb01kppx23g008c05g0,"{'001111': 20, '100111': 22, '000111': 12, '011111': 21, '001100': 21, '000001': 16, '101111': 22, '000000': 21, '011110': 16, '100001': 15, '110000': 17, '010011': 16, '011010': 14, '011100': 17, '000011': 13, '000101': 19, '100100': 16, '100010': 18, '010111': 15, '011000': 15, '010101': 21, '000100': 13, '111100': 16, '101010': 18, '111000': 12, '001010': 13, '110111': 15, '110110': 14, '100101': 15, '110011': 17, '010000': 18, '100011': 11, '100110': 19, '111110': 12, '000010': 18, '111111': 19, '001000': 16, '101110': 12, '010010': 28, '111010': 17, '011011': 19, '010110': 20, '001101': 19, '101001': 19, '110010': 17, '101100': 13, '010001': 13, '100000': 17, '110100': 17, '101101': 11, '010100': 17, '011101': 19, '111101': 15, '101011': 17, '110001': 17, '111001': 11, '001110': 12, '001001': 8, '110101': 11, '101000': 21, '001011': 10, '111011': 9, '000110': 10, '011001': 12}",
e0dcdfc9,ibm_brisbane,11,cxb01nptpsjg008chm5g,"{'01': 990, '11': 17, '00': 12, '10': 5}",
23caeab0,ibm_brisbane,163,cxb01pypx23g008c05h0,"{'111': 590, '100': 58, '010': 57, '000': 58, '110': 74, '001': 45, '011': 77, '101': 65}",
a00dc22c,ibm_brisbane,682,cxb01rfrkac00089qwxg,"{'0101': 70, '0100': 60, '1100': 68, '1010': 59, '0010': 71, '1000': 57, '0110': 64, '0001': 65, '1110': 55, '0011': 64, '1011': 60, '1111': 78, '1101': 63, '1001': 62, '0000': 66, '0111': 62}",
cdbc3c51,ibm_brisbane,3187,cxb01tftpsjg008chm7g,"{'11000': 46, '10111': 23, '10011': 26, '11110': 24, '01000': 35, '00011': 31, '11101': 35, '10100': 22, '10010': 35, '01111': 35, '01101': 32, '10000': 40, '01001': 39, '01100': 17, '01010': 31, '11100': 44, '00001': 37, '01011': 34, '00100': 33, '10110': 33, '11001': 33, '10101': 40, '00000': 32, '11010': 32, '11011': 30, '11111': 29, '00010': 31, '00110': 35, '00101': 32, '10001': 20, '01110': 34, '00111': 24}",
0e14030c,ibm_brisbane,8358,cxb01xfztp30008g6tm0,"{'101001': 18, '100010': 14, '010000': 19, '111010': 19, '010111': 21, '101010': 18, '010100': 18, '001110': 19, '001011': 16, '110001': 19, '000100': 22, '000011': 17, '011110': 23, '111011': 14, '111100': 13, '101100': 11, '010011': 15, '010010': 14, '100111': 12, '011111': 16, '110010': 13, '110011': 22, '101110': 15, '010001': 16, '100100': 18, '101111': 15, '000001': 15, '001100': 12, '100001': 20, '001000': 10, '100110': 18, '000010': 20, '111110': 15, '000101': 18, '111111': 19, '011001': 17, '001101': 21, '101011': 23, '010110': 13, '001111': 14, '101000': 10, '001010': 11, '001001': 14, '011100': 11, '101101': 15, '110000': 19, '000110': 22, '011000': 26, '111000': 16, '100101': 18, '011010': 10, '110111': 17, '011101': 12, '000000': 5, '010101': 11, '100000': 18, '111101': 13, '011011': 12, '111001': 19, '110101': 16, '110100': 19, '000111': 16, '100011': 11, '110110': 11}",
e0dcdfc9,aws_local,12,,{'01': 1024},1970-01-01 00:00:00.122817278
23caeab0,aws_local,18,,"{'111': 982, '001': 13, '110': 6, '010': 7, '011': 6, '000': 2, '100': 6, '101': 2}",1970-01-01 00:00:00.083653927
a00dc22c,aws_local,27,,"{'1001': 986, '0011': 3, '0000': 7, '1111': 5, '0010': 2, '0110': 1, '1000': 4, '0101': 1, '1010': 2, '1100': 3, '1101': 2, '0001': 2, '0111': 4, '1011': 1, '1110': 1}",1970-01-01 00:00:00.194475174
cdbc3c51,aws_local,38,,"{'10011': 481, '00111': 511, '01101': 3, '01000': 1, '00001': 1, '10000': 2, '11110': 1, '11010': 1, '01100': 1, '10111': 2, '10100': 1, '11001': 2, '01010': 2, '01110': 1, '11011': 1, '00010': 1, '10010': 1, '10101': 3, '11101': 2, '00100': 1, '01001': 1, '10001': 2, '11100': 1, '00000': 1}",1970-01-01 00:00:00.600647450
0e14030c,aws_local,50,,"{'101001': 505, '011011': 518, '001110': 1}",1970-01-01 00:00:00.900839567
e0dcdfc9,aws_SV1,12,arn:aws:braket:us-west-1:615299756142:quantum-task/4897ee66-79df-4238-b3f4-4e7000dbc75d,{'01': 1024},1970-01-01 00:00:07.659070253
23caeab0,aws_SV1,48,arn:aws:braket:us-west-1:615299756142:quantum-task/2213e1ee-791b-4bb4-b736-193bf47ddcc7,"{'111': 972, '011': 7, '001': 9, '010': 6, '000': 6, '110': 11, '101': 6, '100': 7}",1970-01-01 00:00:04.601913452
a00dc22c,aws_SV1,186,arn:aws:braket:us-west-1:615299756142:quantum-task/9bca1d55-3496-49d7-a85b-6ffd8e440310,"{'1001': 986, '0001': 3, '0011': 2, '1111': 4, '0000': 5, '1000': 3, '1010': 4, '0100': 4, '1011': 6, '0111': 3, '1110': 2, '0110': 1, '0010': 1}",1970-01-01 00:00:04.560971975
cdbc3c51,aws_SV1,530,arn:aws:braket:us-west-1:615299756142:quantum-task/3fabb08c-e1b6-4bdf-afdb-b14a34edb06c,"{'00111': 505, '10011': 482, '11000': 3, '11110': 1, '00101': 3, '10000': 2, '00000': 1, '10101': 2, '00011': 2, '11111': 1, '01111': 1, '11100': 1, '10111': 2, '10110': 3, '11010': 4, '01011': 1, '11101': 1, '11001': 1, '01000': 1, '00010': 2, '10010': 1, '10001': 1, '01001': 1, '00100': 1, '01010': 1}",1970-01-01 00:00:05.362342834
0e14030c,aws_SV1,1206,arn:aws:braket:us-west-1:615299756142:quantum-task/e90244e0-842b-4105-931c-435f31779e02,"{'101001': 522, '011011': 501, '110001': 1}",1970-01-01 00:00:06.537157297
e0dcdfc9,aws_Forte 1,14,arn:aws:braket:us-east-1:615299756142:quantum-task/c1fe371e-39e9-4cad-9eaf-3603104c6cbd,{'01': 10},
23caeab0,aws_Forte 1,82,arn:aws:braket:us-east-1:615299756142:quantum-task/fbf57dbf-16a1-4e05-80ef-58249d9696f7,"{'100': 1, '111': 9}",
a00dc22c,aws_Forte 1,281,arn:aws:braket:us-east-1:615299756142:quantum-task/483483aa-e5a7-4acf-8f47-0a3a877f9032,"{'0001': 1, '0100': 1, '0101': 2, '0110': 1, '0111': 1, '1001': 2, '1011': 2}",
e0dcdfc9,aws_Garnet,12,arn:aws:braket:eu-north-1:615299756142:quantum-task/607bd771-8e86-47e5-8992-c4ab2d5ce4a4,,
23caeab0,aws_Garnet,64,arn:aws:braket:eu-north-1:615299756142:quantum-task/8c0c1c24-9a41-440e-860d-a84e1cd633c7,,
a00dc22c,aws_Garnet,222,arn:aws:braket:eu-north-1:615299756142:quantum-task/88505ade-4aa7-4147-900b-0ca7c7ea2478,,
cdbc3c51,aws_Garnet,644,arn:aws:braket:eu-north-1:615299756142:quantum-task/4ff2c254-8c3b-4867-b0fd-17d468c6f525,,
0e14030c,aws_Garnet,1488,arn:aws:braket:eu-north-1:615299756142:quantum-task/4f589fb2-7560-4509-9aeb-c2334437c651,,
e0dcdfc9,aws_Forte 1,14,arn:aws:braket:us-east-1:615299756142:quantum-task/3881d687-d4d2-41b9-b7dd-bd2b892cc3a8,"{'00': 1, '01': 99}",
23caeab0,aws_Forte 1,82,arn:aws:braket:us-east-1:615299756142:quantum-task/10ac60ba-ae8d-43a4-9c68-5eed545d4438,"{'000': 4, '001': 3, '010': 1, '011': 5, '101': 3, '110': 3, '111': 81}",
a00dc22c,aws_Forte 1,281,arn:aws:braket:us-east-1:615299756142:quantum-task/2ac5c931-6aee-44f0-b6e5-af9d5047113e,"{'0000': 3, '0001': 3, '0011': 3, '0100': 2, '0101': 1, '0110': 3, '0111': 2, '1000': 6, '1001': 58, '1010': 1, '1011': 1, '1100': 2, '1101': 8, '1110': 6, '1111': 1}",
